VPS 3.5 - List (VPX tables Only) -- Last updated: 09-02-2020	You can download this sheet for Personal Usage and use the Checkboxes to see which table(s) you do (or don't) have and leave Comments or Notes for yourself.								
Table Name (Manufacturer Year)	Feature(s) Description(s), comment(s) or extra information	Type 	VP Version	Table Author(s)	Table Version	Table Date	Needed ROM Name	Checkbox 	Comments or Notes 
Blue Note (Gottlieb 1978)		EM	VPX	Loserman76, GNance, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog	1.0a	25-12-2017		FALSE	
Bone Busters Inc. (Gottlieb 1989)		SS	VPX	Hmueck	1.0	24-12-2015	bonebstr	FALSE	
Boomerang (Bally 1974)		EM	VPX	Scottacus, Whirlwind, Bord, Editoy, Mjr	1.02	11-05-2019		FALSE	
Bounty Hunter (Gottlieb 1985)	VP8 to VPX Conversion	SS	VPX	Rascal, Destruk, Kristian, DesAngel, Inkochnito, Luvthatapex	1.1	25-01-2019	bountyh	FALSE	
Bowling (alle neune) (NSM 1976)		EM	VPX	Stat, Hmueck, Bord	1.0	10-10-2019		FALSE	
Bram Stoker's Dracula (Williams 1993)	Future Pinball to Visual Pinball conversion	SS	VPX	ICPjuggla, Dozer	1.1	12-06-2016	drac_l1	FALSE	
Breakshot (Capcom 1996)		SS	VPX	Krobar74, 32assassin, Dozer	Beta .9	18-07-2018	bsv103	FALSE	
Breakshot (Capcom 1996)	Bigus MOD	SS	VPX	Bigus1, Krobar74	1.1	15-01-2020	bsv103	FALSE	
Bristol Hills (Gottlieb 1971)		EM	VPX	Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, Borgdog, Arngrim	1.0b	02-01-2017		FALSE	
Bronco (Gottlieb 1977)		EM	VPX	Loserman76, GNance	1.0	17-01-2018		FALSE	
Bubba the Redneck Werewolf (Original 2017)		SS	VPX	HauntFreaks, BorgDog, Bord	1.0	29-10-2017	bubba	FALSE	
Buccaneer (Gottlieb 1976)		EM	VPX	Daryl	1.0	08-09-2016		FALSE	
