VPS 3.5 - List (VPX tables Only) -- Last updated: 0	You can download this sheet for Personal Usage and use the Checkboxes to see which table(s) you do (or don't) have and leave Comments or Notes for yourself.								
Table Name (Manufacturer Year)	Feature(s) Description(s), comment(s) or extra information	Type 	VP Version	Table Author(s)	Table Version	Table Date	Needed ROM Name	Checkbox 	Comments or Notes 
Back to the Future (Data East 1990)	Bigus MOD	SS	VPX	Bigus1, Cyberpez	Bigus1, Cyberpez	1.1	bttf_a27	FALSE	
Back to the Future (Data East 1990)	Surround Sound MOD	SS	VPX	Cyberpez, Wrd1972, Rothbauerw, JPSalas, ClarkKent, HauntFreaks, Dark, Zany, Flupper, nFozzy, Evileye, RustyCardores	Cyberpez, Wrd1972, Rothbauerw, JPSalas, ClarkKent, HauntFreaks, Dark, Zany, Flupper, nFozzy, Evileye, RustyCardores	1.4	bttf_a27	FALSE	
Back to the Future (Data East 1990)	Graphics MOD	SS	VPX	Delta6014, Cyberpez	Delta6014, Cyberpez	BTTF 1.4 PF Mod	bttf_a27	FALSE	
Bad Cats (Williams 1989)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, UncleWilly, ClarkKent, Dark	Arconovum, UncleWilly, ClarkKent, Dark	1.2 FSS Rev. R2.5	bvats_l5	FALSE	
Bad Cats (Williams 1989)		SS	VPX	UncleWilly, Nunzio, Knorr, ClarkKent	UncleWilly, Nunzio, Knorr, ClarkKent	1.2.1a	bvats_l5	FALSE	
Bad Cats (Williams 1989)	Graphics Remaster MOD	SS	VPX	Brad1X, UncleWilly, ClarkKent, Dark	Brad1X, UncleWilly, ClarkKent, Dark	1.2.1b	bvats_l5	FALSE	
Bad Girls (Gottlieb 1988)		SS	VPX	32assassin, Bodydump, JPSalas	32assassin, Bodydump, JPSalas	1.0.2	badgirls	FALSE	
Bad Girls (Gottlieb 1988)	FSS (Full Single Screen) MOD	SS	VPX	Morttis, 32assassin, Bodydump, JPSalas, Arconovum	Morttis, 32assassin, Bodydump, JPSalas, Arconovum	1.0.2 - Rev. 1.0 [FSS]	badgirls	FALSE	
Bad Santa Pinball (Original 2018)		SS	VPX	Stevegooner123, Xenonph, Lizard, Destruk, Mickey, Slydog43, Allknowing2012, Gtxjoe, Thalamus, Arngrim, Steely, Pinball Ken, Koadic, JimmyFingers, Rascal, Cyberpez, Seraph74, JPSalas	Stevegooner123, Xenonph, Lizard, Destruk, Mickey, Slydog43, Allknowing2012, Gtxjoe, Thalamus, Arngrim, Steely, Pinball Ken, Koadic, JimmyFingers, Rascal, Cyberpez, Seraph74, JPSalas	1.01		FALSE	
Bad Santa Pinball 2 XL (Original 2018)		SS	VPX	Stevegooner123, Xenonph, Lizard, Destruk, Mickey, Slydog43, Allknowing2012, Gtxjoe, Thalamus, Arngrim, Steely, Pinball Ken, Koadic, JimmyFingers, Rascal, Cyberpez, Seraph74, JPSalas	Stevegooner123, Xenonph, Lizard, Destruk, Mickey, Slydog43, Allknowing2012, Gtxjoe, Thalamus, Arngrim, Steely, Pinball Ken, Koadic, JimmyFingers, Rascal, Cyberpez, Seraph74, JPSalas	1.01		FALSE	
Bad Santa Pinball XL (Original 2018)		SS	VPX	Stevegooner123, Xenonph, Lizard, Destruk, Mickey, Slydog43, Allknowing2012, Gtxjoe, Thalamus, Arngrim, Steely, Pinball Ken, Koadic, JimmyFingers, Rascal, Cyberpez, Seraph74, JPSalas	Stevegooner123, Xenonph, Lizard, Destruk, Mickey, Slydog43, Allknowing2012, Gtxjoe, Thalamus, Arngrim, Steely, Pinball Ken, Koadic, JimmyFingers, Rascal, Cyberpez, Seraph74, JPSalas	1.01		FALSE	
Balls-A-Poppin (Bally 1956)		EM	VPX	Loserman76	Loserman76	1.0		FALSE	
Bally Hoo (Bally 1969)		EM	VPX	Albert, -=Kees=_	Albert, -=Kees=_	1.0		FALSE	
Bally Hoo (Bally 1969)		EM	VPX	-=Kees=-, Leon Spalding	-=Kees=-, Leon Spalding	1.00		FALSE	
Band Wagon (Bally 1965)		EM	VPX	Loserman76, Kees, CryptDoctor21	Loserman76, Kees, CryptDoctor21	1.0		FALSE	
