Table Name (Manufacturer Year)	Manufacturer	Year	Theme	Player(s)	IPDB Number	Description(s)	Type	VP Version	Table URL	Table Author(s)	Table Version	Table Date
Garfield (Original 2017)	Original	2017	Cartoons	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Nitronimbus, Roney Pinball	1.0	2017-07-07
Gladiator (Gottlieb 1956)	Gottlieb	1956	Historical	2				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	FranciscoPozo	1.0	2020-04-24
Gold Strike (Gottlieb 1975)	Gottlieb	1975	Billiards	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Popotte	2.00	2009-09-22
Goldorak (Original 2020)	Original	2020	Cartoons			BAM, Cabinet, DOFLinx, LEDWiz		FP	https://vpinball.com/VPBdownloads/	Major Frenchy, Rom, Skinooe	1.2	2020-05-02
Gone in 60 seconds PREMIUM (Original 2015)	Original	2015	Automotive, Speed	4		Zedpinball		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Rom	2.3	2015-09-11
Grande Domino (Gottlieb 1968)	Gottlieb	1968	Dominoes - Games	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	1.0	2020-05-23
Grease (Original 2020)	Original	2020	Music	4		MOD of Elvis (Stern 2004)		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Dstruct, Francisco666, Nitronimbus, Polygame	2.0	2020-05-19
Gremlins (Original 2016)	Original	2016	TV Show - Fantasy - Time Travel	4		DOFLinx, Physics 205		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Dr.Tom, Francisco666	2.5	2016-11-22
Halloween ULTIMATE Pro (Original 2019)	Original	2019	Horror	4				FP	https://speak1970.wixsite.com/slamspinballemporium	SLAMT1LT	1.02	2019-11-01
Halloween ULTIMATE Pro - PinEvent (Original 2020)	Original	2020	Horror	4		PinEvent, PuP, PuP-Pack		FP	https://vpinball.com/VPBdownloads/	TerryRed, SLAMT1LT	1.02 PinEvent 1.2	2020-06-07
Hamster! (Original 2008)	Original	2008		4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Misaligned Cow Ventures	1.00	2008-04-30
Harlem Globetrotters On Tour (Bally 1979)	Bally	1979	Sports - Basketball - Licensed Theme	4		MOD		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Nitronimbus, Popotte, Rob046	1.0	2017-03-29
Harry Potter (Original 2017)	Original	2017	TV Show - Fantasy - Time Travel	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Nitronimbus, SLAMT1LT	1.0	2017-08-28
Hayburners (Williams 1951)	Williams	1951	HorseShoe, Western	1				FP	https://www.irpinball.org/fp.htm	Misaligned Cow Ventures	1.1	07-21-2007
Hearts And Spades (Gottlieb 1969)	Gottlieb	1969	Cards - Gambling	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	2.0	2020-05-31
Heat Wave (Williams 1964)	Williams	1964	Beach - Swimming	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Leon Spalding	RC1	2007-03-13
Hendrix (Original 2019)	Original	2019						FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Mark1	1.0	2019-09-05
Hi Dolly (Gottlieb 1965)	Gottlieb	1965	Girls - Romance - Women	2				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	1.0	2020-01-07
Hi-Deall (Bally 1975)	Bally	1975	Cards - Gambling	1				FP	https://www.irpinball.org/fp.htm	Greywolf	5.0	2009-02-21
High Hand (Gottlieb 1973)	Gottlieb	1973	Cards - Gambling	1		Special Edition		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Popotte	2.10	2016-05-11
Hokus Pokus (Bally 1976)	Bally	1976	Magic	2				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Greywolf	5.0	2009-02-21
Hot Shot (Gottlieb 1973)	Gottlieb	1973	Billiards	4		Physics 1.0		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Larboy, Matthewfarmer	1.0	2005-11-01
Hyde Park (Gottlieb 1966)	Gottlieb	1966	World Places	2				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	1.0	2020-02-14
Independence Day (Sega 1996)	Sega	1996	Outer Space - Licensed Theme - Action Movie	6				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Francisco666, GeorgeH, Smoke	1.1	2019-05-25
Indiana Jones Pinball Adventure Ultimate Enhanced (Williams 1993)	Williams	1993	Adventure, Fictional, Licensed Theme	4		BAM		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	GeorgeH, Gimli, Gin, Glxb, Highlnder00, Miownkhan, SLAMT1LT 	1.0	2020-04-13
Indiana Jones Pinball Adventure Ultimatum (Williams 1993)	Williams	1993	Adventure, Fictional, Licensed Theme	4		Zedpinball, Physics 2.6, Custom Physics		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	GeorgeH, Gimli, Glxb, Highlnder00, Skinooe, SLAMT1LT, Starac, Umpa	2.0	2016-04-10
Indiana Jones ULTIMATE Pro (Stern 2008)	Stern	2008	Licensed Theme - Movie - Myth and Legend	4				FP	https://speak1970.wixsite.com/slamspinballemporium	SLAMT1LT	1.06	2020-05-07
Indiana Jones Ultimatum Path of Adventure (Williams 1993)	Williams	1993	Adventure, Fictional, Licensed Theme	4		Custom Physics		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	GeorgeH, Gimli, Glxb, Highlnder00, SLAMT1LT	2.0	2016-04-10
Iron Maiden (Williams 2017)	Williams	2017	Music	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Retro Bash	1.0	2017-12-02
Iron Man ULTIMATE (Stern 2010)	Stern	2010	Comics - Fantasy - Licensed Theme	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	GeorgeH, Polygame, Rom, SLAMT1LT, Wild, TerryRed	1.06-2	2018-12-10
Iron Man ULTIMATE Pro (Stern 2010)	Stern	2010	Comics - Fantasy - Licensed Theme	4				FP	https://speak1970.wixsite.com/slamspinballemporium	SLAMT1LT, Rom	1.04	2019-09-05
Jacks Open (Gottlieb 1977)	Gottlieb	1977	Cards - Gambling	1				FP	See Spreadsheet	Margoni	1.0	2020-02-28
Jaws ULTIMATE (Original 2018)	Original	2018	Horror	4		DOFlinx,P2.7		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	SLAMT1LT, Rom, TerryRed	1.05	2016-11-18
Jaws ULTIMATE Pro (Original 2018)	Original	2018	Horror	4				FP	https://speak1970.wixsite.com/slamspinballemporium	SLAMT1LT	1.08	2019-09-12
Jaws ULTIMATE Pro - PinEvent (Original 2020)	Original	2020	Horror	4		PinEvent, PuP, PuP-Pack		FP	https://vpinball.com/VPBdownloads/	TerryRed, SLAMT1LT, Rom	1.08 PinEvent 1.2	2020-06-15
Johnny Test (Original 2019)	Original	2019						FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Mark1	2.0	2019-03-07
Joker Poker ULTRA Edition (Gottlieb 1978)	Gottlieb	1978	Cards - Gambling	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	EDM, Gravy, Lio, Patrick, SLAMT1LT	1.01	2011-11-10
Joueur Du Grenier (Original 2019)	Original	2019				BAM		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Aduke	1.27	2019-12-10
Julia Pinball (Original 2019)	Original	2019						FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Romicco	1.02	2019-09-16
Jungle (Gottlieb 1972)	Gottlieb	1972	Fantasy	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Popotte	1.0	2007-09-02
Junkyard Cats (Original 2012)	Original	2012	Cartoons	4				FP	http://www.junkyardcats.net/download.php	Brendan Bailey	1.0	
Jurassic Park Rom and SlamT1lt MODs (Data East 1993)	Data East	1993	Fantasy - Licensed Theme	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Francisco666, GeorgeH, Polygame, Puma, Rom, Slamt1lt	1.4	2019-08-20
Jurassic Park ULTIMATE (Data East 1993)	Data East	1993	Fantasy - Licensed Theme	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	SLAMT1LT	1.02	2013-08-12
Jurassic Park ULTIMATE Pro (Data East 1993)	Data East	1993	Fantasy - Licensed Theme	4				FP	https://speak1970.wixsite.com/slamspinballemporium	SLAMT1LT	1.05	2019-11-11
Ken Orbitron (Original 2019)	Original	2019						FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Tii	1.0	2019-06-24
Kick Off (Bally 1976)	Bally	1976	Sports, Soccer	4		Physics 2.6		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Jc144	1.1	2006-01-16
Kill Bill (Original 2007)	Original	2007	Movie, Arts	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Shmithz	0.1 Beta	2007-07-18
Killer Klowns (Original 2006)	Original	2006	Horror	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Ruckage	1.5	2006-05-14
King Kool (Gottlieb 1972)	Gottlieb	1972	Happiness - Music	2				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	1.0	2020-03-17
King of Diamonds (Gottlieb 1967)	Gottlieb	1967	Cards - Gambling	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Popotte	2.00	2009-01-07
King Rock (Gottlieb 1972)	Gottlieb	1972	Happiness - Music	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	1.0	2020-03-18
Kings & Queens (Gottlieb 1965)	Gottlieb	1965	Cards - Gambling	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Popotte	2.10	2006-09-08
KISS PLATINUM (Bally 1979)	Bally	1979	Celebrities - Licensed	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Popotte, SLAMT1LT	1.02	2013-08-12
Kiss ULTIMATE Pro (Bally 1979)	Bally	1979	Celebrities - Licensed	4		Physics 2.7		FP	https://speak1970.wixsite.com/slamspinballemporium	SLAMT1LT, Popotte	1.03	2019-08-04
Knight Rider (Original 2017)	Original	2017	Automotive, Speed	4		DOFLinx, Cabinet		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Rom, TerryRed	1.0	2017-02-02
Krull (Gottlieb 1983)	Gottlieb	1983	Fantasy - Licensed Theme	4		BAM		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Franzleo, Wild	2.5	2020-06-16
Lariat (Gottlieb 1969)	Gottlieb	1969	Western	2				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	1.0	2020-07-31
Lectronamo (Stern 1978)	Stern	1978	Fictional Characters	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	MartinB	3.1	2013-06-11
LesMills Body Pump (Original 2019)	Original	2019		4		Custom Physics, FP Physics 1.0, BAM		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Aduke, Cestmoi	1.09	2020-03-20
Lesson & Hot Cake Party (Original 2019)	Original	2019						FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Romicco	1.01A	2019-10-23
Little Joe (Bally 1971)	Bally	1971	Cards - Gambling	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Jc144	1.0	2006-02-05
Lost World (Bally 1978)	Bally	1978	Fantasy	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Germax	1.0	2007-08-20
Lucky Smile (Inder 1976)	Inder	1976	Gambling	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Pelos	1.0	2020-05-20
Lucky Strike TTL (Taito 1977)	Taito	1977	Bagatelle	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Exegeta, Roataguile	1.0	2019-10-03
M.A.S.H (Original 2020)	Original	2020	TV					FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	MartinB, Nightvoice, Popotte	1.1	2020-04-27
Mad Balls (Original 2017)	Original	2017	Fantasy	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Tii	1.0	2017-08-10
Mad Mag (Original 2006)	Original	2006	Comedy	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Bob5453	1.11	2006-11-14
Mad Max (Original 2015)	Original	2015	War	3		Physics 1.0		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Ghostmachine	1.0	2015-04-03
Magic City (Williams 1967)	Williams	1967	Travel	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Popotte	1.0	2006-12-03
Magic Town (Williams 1967)	Williams	1967	Travel	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Popotte	1.0	2006-12-03
Mariner (Bally 1971)	Bally	1971	Sports - Water Sports - Spear Fishing	4				FP		Margoni	2.0	2020-07-23
Masquerade (Gottlieb 1966)	Gottlieb	1966	Happiness - Dancing	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	1.0	2020-01-01
Masters Of The Universe (Original 2019)	Original	2019	Cartoons	4		BAM, Custom Physics		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	GeorgeH, Gimli, Hyperion, Rom, TerryRed	3.1	2020-05-05
Masters Of The Universe - Mastered Edition (Original 2017)	Original	2017	Cartoons	4		DOFLinxMX, Cabinet Editon		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Hyperion, Rom, TerryRed	1.0	2017-06-17
Masters Of The Universe DOFLinx (Original 2020)	Original	2020	Cartoons	4		BAM, Cabinet, Custom Physics, DOFLinx		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	GeorgeH, Gimli, Hyperion, Rom, TerryRed	3.1	2020-05-05
Mayfair (Gottlieb 1966)	Gottlieb	1966	Show Business	2				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	1.0	2020-02-10
Medieval Castle (Original 2006)	Original	2006	Medieval	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Roney Pinball	1.0	2006-12-01
Medieval Madness ULTIMATE (Williams 1997)	Williams	1997	Fantasy - Medieval - Wizards - Magic	4		Custom Physics		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Flug, Francisco666, GeorgeH, SLAMT1LT	1.02	2018-12-15
Medieval Madness ULTRA Edition (Williams 1997)	Williams	1997	Fantasy - Medieval - Wizards - Magic	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Francisco666, SLAMT1LT	1.19	2013-02-07
MegaMan (Original 2006)	Original	2006	Cartoons	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	PinWizKid	1.0	2006-05-14
Merry-Go-Round (Gottlieb 1960)	Gottlieb	1960	Amusement Park	2				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	1.0	2019-11-21
Metal Slug (Original 2013)	Original	2013	Arcade	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	PinWizKid	2.0	2009-11-01
Metallica MOD (Original 2019)	Original	2019	Music	4		BAM		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Francisco666, Nitronimbus, SLAMT1LT	2.1	2019-11-05
Metamorphosis (Original 2009)	Original	2009	SuperNatural	2				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Fat Freddys Dog	1.0	2009-02-16
Meteor Ultra Edition (Stern 1979)	Stern	1979	Outer Space - Licensed Theme	4		Ultra Edition		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	MartinB, SLAMT1LT	1.03	2013-05-19
Mickey Mouse Special Edition (Original 2019)	Original	2019						FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Mark1	3.0	2019-03-07
MINIONS PINBALL (Original 2015)	Original	2015	Cartoons	4		DOF MOD		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	DrTom, Rom, TerryRed	1.0	2016-11-19
Miss Universo (3 Ladies) (Inder 1971)	Inder	1971	Beauty Pageant - Pageantry - Women	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Pelos	1.0	2020-06-12
Miss-O (Williams 1969)	Williams	1969	Billiards	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Popotte	1.0	2009-01-18
Monster Bash (Williams 1998)	Williams	1998	Horror - Licensed Theme	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Flug, GeorgeH, Gimli, Gin, Glxb, Krokofant, Lettuce, Moogster66, Polygame, Shvmr, Whitey Weismann, WiredWorm, Wtiger	0.96	2019-11-26
Monte Carlo (Bally 1963)	Bally	1963	Gambling	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Leon Spalding	RC1	2007-10-07
Motorhead Tribute To First (Original 2020)	Original	2020						FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Foliche	1.0	2020-04-15
Mr. Woody! (Original 2006)	Original	2006		1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Tii	1.1	2006-03-15
Mystic (Bally 1980)	Bally	1980	Circus - Carnival - Magic	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	1.0	2020-04-22
Naruto (Original 2007)	Original	2007	Cartoons	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Benathar	0.97	2007-07-25
Nebula (Original 2020)	Original	2020						FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Tii	1.0	2020-02-15
Neon Future (Original 2019)	Original	2019						FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Tii	1.0	2019-12-03
New Wave (Original 2019)	Original	2019						FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Mark1	1.0	2019-09-05
New zealand Story (Original 2006)	Original	2006	Cartoons	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Shmithz	1.0	2006-11-01
Nightmare on Elm Street ULTIMATE Pro, A (Original 2019)	Original	2019	Horror	4		DOFLinx, Cabinet		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Major Frenchy, SLAMT1LT	1.3	2020-05-30
Nightmare on Elm Street ULTIMATE Pro, A (Original 2019)	Original	2019	Horror	4				FP	https://speak1970.wixsite.com/slamspinballemporium	SLAMT1LT	1.03	2019-11-11
Nightmare on Elm Street ULTIMATE, A (Original 2017)	Original	2017	Horror	4		DOFLinx		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Senseless, SLAMT1LT	1.06	2017-01-20
Ninja Turtles (Original 2019)	Original	2019						FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Mark1	1.0	2019-05-06
Nintendo NES Pinball (Nintendo 1984)	Nintendo	1984	Videogames			BAM		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Gimli, Popotte, Ravarcade, Wild	1.5	2020-07-08
NintenSega (Original 2019)	Original	2019				Custom Physics, FD Physics 1.0		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Aduke	2.22	2019-12-15
Nip-It (Bally 1973)	Bally	1973	Sports - Fishing - Alligators - Water	4		BAM, FP Physics 1.0		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Franzleo, Gimli, HauntFreaks, Monnezzas, Skinooe, Wild	2.0	2020-05-02
Nitro Ground Shaker (Bally 1980)	Bally	1980	Sports - Auto Racing	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	1.0	2020-05-07
North Star (Gottlieb 1964)	Gottlieb	1964	World Places	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	2.0	2019-12-17
Old Chicago ULTIMATE (Bally 1976)	Bally	1976	Historical	4		Physics 2.6		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Popotte, SLAMT1LT	1.01	2013-11-02
Orbit (Gottlieb 1971)	Gottlieb	1971	Outer Space	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Popotte	1.00	2007-10-18
Out of Sight (Gottlieb 1974)	Gottlieb	1974	Psychedelic	2				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	1.0	2020-04-06
OXO (Williams 1973)	Williams	1973	Tic-Tac-Toe	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Centinex, Misaligned Cow Ventu	2.00	2008-03-30
Paradise (Gottlieb 1965)	Gottlieb	1965	Hawaii	2		Paradise Cab Version		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni		2019-12-06
Paradise (Gottlieb 1965)	Gottlieb	1965	Hawaii	2				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	1.0	2019-12-02
Paradise (Gottlieb 1965)	Gottlieb	1965	Hawaii	2				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Angy52	1.1	2019-12-06
Paul Bunyan (Gottlieb 1968)	Gottlieb	1968	Fantasy - Myth and Legend	2				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Doudou10, Popotte	1.0	2008-03-31
Penthouse (Original 2008)	Original	2008	Adult	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Popotte, Rob046, Taltmeyer	0.1	2008-10-28
Phantom Of The Opera ULTIMATE (Data East 1990)	Data East	1990	Horror	4		DOFLinx, BAM		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	DRAKKO, Francisco666, GeorgeH, Gimli, Sigi, SLAMT1LT, Thorgeist, Titomartinez	1.04-3	2019-02-27
Pinball Dreams Beat-Box (Digital Illusions CE 1992)	Digital Illusions CE	1992	AudioSound	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Sebek74, Slash284	1.04c	2012-10-02
Pinball Dreams Ignition (Digital Illusions CE 1992)	Digital Illusions CE	1992	Amiga	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	light86, Sebek74, Skyrunner, Slash2084	1.11	2009-10-15
Pinball Fantasies Partyland (Digital Illusions CE 1992)	Digital Illusions CE	1992	Amiga	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Light86, SlipperyPenguin	1.51	2008-12-25
Pinball Pool ULTIMATE (Gottlieb 1979)	Gottlieb	1979	Billiards	4		Physics 2.6		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Popotte, SLAMT1LT	1.01	2013-11-03
Pink Floyd (Original 2020)	Original	2020	Music			BAM, Cabin, DOFLinx		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Francisco666, Major Frenchy, Nitronumbus, SLAMT1LT, GeorgeH	2.3	2020-05-05
Pink Floyd (Original 2017)	Original	2017	Music	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Francisco666, Nitronimbus, SLAMT1LT	2.0	2017-04-20
Pink Floyd MOD (Original 2019)	Original	2019	Music			BAM		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Francisco666, Nitronimbus, SLAMT1LT	2.2	2019-11-05
Pinky and the Brain (Original 2017)	Original	2017	Cartoons	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Mark1	3.0	2017-06-10
Pinky and the Brain SE2 (Original 2017)	Original	2017	Cartoons	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Mark1	3.5	2017-06-10
Pioneer (Gottlieb 1976)	Gottlieb	1976	Western	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Greywolf	5.0	2009-12-26
Pirates (Original 2019)	Original	2019						FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Tii	1.0	2019-06-05
Pop-A-Card (Gottlieb 1972)	Gottlieb	1972	Playing cards	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	1.0	2007-01-03
Pop-A-Card (Gottlieb 1972)	Gottlieb	1972	Playing cards	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	2.0	2020-05-28
Pro-Football ULTRA (Gottlieb 1973)	Gottlieb	1973	Sports - Football	1		Ultra		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Popotte, SLAMT1LT	1.03	2013-08-13
Puppet Master (Art MOD) (Original 2020)	Original	2020				FP Physics 1.0		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Blazy71, Ghostmachine	1.0	2020-04-20
QBert's Quest (Gottlieb 1983)	Gottlieb	1983	Arcade	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Hazysmile, Leodios262000	1.0	2013-12-21
Rain (Original 2019)	Original	2019						FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Mark1	1.5	2019-05-06
Reel It In! (Original 2013)	Original	2013	WildLife, Fishing	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Polygame	1.0c	2013-02-18
Release The Beast (Original 2020)	Original	2020				Reskin of Rhenly's Blues Brothers (Original 2018)		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Slicky	1.1	2020-04-22
RetroFlair (Original 2017)	Original	2017	Arcade, JukeBox	4		DOFLinxMX, Cabinet Edition		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Rom, TerryRed		2017-09-28
RetroFlair - BAM Edition - PinEvent (Original 2020)	Original	2020	Arcade, JukeBox	4		BAM, PinEvent, PuP, PuP-Pack		FP	https://vpinball.com/VPBdownloads/	TerryRed, Rom	1.4 PinEvent 1.1	2020-06-15
Road Girls (Original 2006)	Original	2006	Travel	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	BlindMankind	1.0+	2006-05-01
Road Girls (Original 2006)	Original	2006	Travel	4		DOFLinx MX		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	BlindManKind, Major Frenchy, Senseless	1.0	2020-06-16
Road Girls Revised (Original 2007)	Original	2007	Travel	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	BlindMankind, Senseless	1.0	2017-01-29
Road Race (Gottlieb 1969)	Gottlieb	1969	Sports - Auto Racing	1				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	1.0	2020-07-10
Road Runner (Original 2006)	Original	2006	Cartoons	4		DOFLinx, Physics 2.7		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Nitronimbus, Roney Pinball	1.1	2017-05-13
Robo Santa (Original 2019)	Original	2019						FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Tii	1.5	2019-12-14
Robocop (Original 2016)	Original	2016	Licensed Theme - Science Fiction	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Rom, SLAMT1LT, TerryRed	1.05	2016-10-28
Robocop ULTIMATE Pro (Original 2019)	Original	2019	Licensed Theme - Science Fiction					FP	https://speak1970.wixsite.com/slamspinballemporium	SLAMT1LT	1.03	2019-09-26
Robots Invasion (Original 2013)	Original	2013	Science Fiction	4		DOFLinx		FP	https://vpinball.com/VPBdownloads/	Dr.Tom	1.0	2017-02-03
Robots Invasion (Original 2019)	Original	2019	Science Fiction	4		BAM, Custom Physics		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	GeorgeH, Kevin Lee Drum, Moogster66, Nash, Polygame, SLAMT1LT	1.06	2020-02-18
Robots Invasion (Original 2019)	Original	2019	Science Fiction	4		DOFLinx		FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	GeorgeH, Kevin Lee Drum, Major Frenchy, Moogster66, Nash, Polygame, SLAMT1LT	1.06	2020-06-16
Rocket (Williams 1959)	Williams	1959	Avation	3				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Leon Spalding	RC4	2008-04-13
Rocketeer (Original 2019)	Original	2019						FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Tii	1.0	2019-06-03
Roller Coaster (Gottlieb 1971)	Gottlieb	1971		2				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Margoni	1.0	2020-07-04
Rolling Stones (Bally 1979)	Bally	1979	Celebrities - Licensed	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Popotte	1.2	2010-11-02
Royal Flush (Gottlieb 1976)	Gottlieb	1976	Cards - Gambling	4				FP	http://www.pinsimdb.org/pinball/index-10-future_pinball	Greywolf, Popotte	5.0	2009-02-21
