This is the complete list of games supported by PinMAME 3.2 [MAME 0.76] (Oct  5 2019).

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Star Fire (alternate set)        |  Yes  |  Yes  |  Yes  |  Yes  | starfira |
| Star Fire                        |  Yes  |  Yes  |  Yes  |  Yes  | starfire |
| Star Gazer (modified rules rev. 9|  Yes  |  Yes  | Yes(2)|  Yes  | stargzrb |
| Star Gazer (Free Play)           |  Yes  |  Yes  | Yes(2)|  Yes  | stargzfp |
| Star Gazer                       |  Yes  |  Yes  | Yes(2)|  Yes  | stargzr  |
| Star God                         |  Yes  |  Yes  |Partial|  Yes  | stargod  |
| Star God (alternate version)     |  Yes  |  Yes  |  Yes  |  Yes  | stargodb |
| Star God (alternate sound)       |  Yes  |  Yes  | Yes(2)|  Yes  | stargoda |
| Star Light (L-1)                 |  Yes  |  Yes  | Yes(2)|  Yes  | strlt_l1 |
| Star Race                        |  Yes  |  Yes  | Yes(2)|  Yes  | starrace |
| Star Race (7-digit conversion)   |  Yes  |  Yes  | Yes(2)|  Yes  | starrac7 |
| Star Shooter                     |  Yes  |  Yes  |  Yes  |  Yes  | starshot |
| Star Trax (Domestic Prototype)   |  Yes  |  Yes  | Yes(2)|  Yes  | strax_p7 |
| Star Trek (/10 Free Play)        |  Yes  |  Yes  | Yes(2)|  Yes  | startred |
| Star Trek (7-digit Free Play rev.|  Yes  |  Yes  | Yes(2)|  Yes  | startrec |
| Star Trek (7-digit conversion rev|  Yes  |  Yes  | Yes(2)|  Yes  | startreb |
| Star Trek                        |  Yes  |  Yes  | Yes(2)|  Yes  | startrek |
| Star Trek (Stern) Limited Edition|  Yes  |  Yes  |  Yes  |  Yes  | st_162h  |
| Star Trek (Stern) (V1.62)        |  Yes  |  Yes  |  Yes  |  Yes  | st_162   |
| Star Trek (Stern) Limited Edition|  Yes  |  Yes  |  Yes  |  Yes  | st_160h  |
| Star Trek (Stern) (V1.6)         |  Yes  |  Yes  |  Yes  |  Yes  | st_160   |
| Star Trek (Stern) (V1.2)         |  Yes  |  Yes  |  Yes  |  Yes  | st_120   |
| Star Trek (Stern) Limited Edition|  Yes  |  Yes  |  Yes  |  Yes  | st_161h  |
| Star Trek (Stern) (V1.3)         |  Yes  |  Yes  |  Yes  |  Yes  | st_130   |
| Star Trek (Stern) (V1.4)         |  Yes  |  Yes  |  Yes  |  Yes  | st_140   |
| Star Trek (Stern) Limited Edition|  Yes  |  Yes  |  Yes  |  Yes  | st_140h  |
| Star Trek (Stern) Limited Edition|  Yes  |  Yes  |  Yes  |  Yes  | st_141h  |
| Star Trek (Stern) Limited Edition|  Yes  |  Yes  |  Yes  |  Yes  | st_142h  |
| Star Trek (Stern) (V1.5)         |  Yes  |  Yes  |  Yes  |  Yes  | st_150   |
| Star Trek (Stern) Limited Edition|  Yes  |  Yes  |  Yes  |  Yes  | st_150h  |
| Star Trek (Stern) (V1.61)        |  Yes  |  Yes  |  Yes  |  Yes  | st_161   |
| Star Trek 25th Anniversary (2.00)|  Yes  |  Yes  |  Yes  |  Yes  | trek_200 |
| Star Trek 25th Anniversary (1.10 |  Yes  |  Yes  |  Yes  |  Yes  | trek_11a |
| Star Trek 25th Anniversary (2.01)|  Yes  |  Yes  |  Yes  |  Yes  | trek_201 |
| Star Trek 25th Anniversary (1.10)|  Yes  |  Yes  |  Yes  |  Yes  | trek_110 |
| Star Trek 25th Anniversary (1.20)|  Yes  |  Yes  |  Yes  |  Yes  | trek_120 |
| Star Trek 25th Anniversary (1.17)|  Yes  |  Yes  |  Yes  |  Yes  | trek_117 |
| Star Trek: The Next Generation (L|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_s7 |
| Star Trek: The Next Generation (D|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_ds |
| Star Trek: The Next Generation (P|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_p4 |
| Star Trek: The Next Generation (P|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_p5 |
| Star Trek: The Next Generation (P|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_p6 |
| Star Trek: The Next Generation (L|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_g7 |
| Star Trek: The Next Generation (L|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_l1 |
| Star Trek: The Next Generation (L|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_l2 |
| Star Trek: The Next Generation (D|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_d2 |
| Star Trek: The Next Generation (H|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_h7 |
| Star Trek: The Next Generation (L|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_l3 |
| Star Trek: The Next Generation (L|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_l5 |
| Star Trek: The Next Generation (L|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_l7 |
| Star Trek: The Next Generation (D|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_d7 |
| Star Trek: The Next Generation (L|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_l7c |
| Star Trek: The Next Generation (L|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_x7 |
| Star Trek: The Next Generation (D|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_d1 |
| Star Trek: The Next Generation (P|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_p8 |
| Star Trek: The Next Generation (D|  Yes  |  Yes  | Yes(2)|  Yes  | sttng_dx |
| Star Trip                        |  Yes  |  Yes  | Yes(2)|  Yes  | startrip |
| Star Wars (1.02 English)         |  Yes  |  Yes  |  Yes  |  Yes  | stwr_e12 |
| Star Wars (1.07 20th Anniversary,|  Yes  |  Yes  |  Yes  |  Yes  | stwr_107s |
| Star Wars (1.07 20th Anniversary)|  Yes  |  Yes  |  Yes  |  Yes  | stwr_107 |
| Star Wars (1.06 20th Anniversary)|  Yes  |  Yes  |  Yes  |  Yes  | stwr_106 |
| Star Wars (1.04 20th Anniversary)|  Yes  |  Yes  |  Yes  |  Yes  | stwr_104 |
| Star Wars (1.03, Display 1.05)   |  Yes  |  Yes  |  Yes  |  Yes  | stwr_103 |
| Star Wars (1.03, Display 1.04)   |  Yes  |  Yes  |  Yes  |  Yes  | stwr_a14 |
| Star Wars (1.03, Display A0.46)  |  Yes  |  Yes  |  Yes  |  Yes  | stwr_a046 |
| Star Wars (1.01 German)          |  Yes  |  Yes  |  Yes  |  Yes  | stwr_g11 |
| Star Wars (Sonic, alternate set) |  Yes  |  Yes  |  Yes  |  Yes  | sonstwr2 |
| Star Wars (Sonic)                |  Yes  |  Yes  |  Yes  |  Yes  | sonstwar |
| Star Wars (1.02)                 |  Yes  |  Yes  |  Yes  |  Yes  | stwr_102 |
| Star Wars Trilogy (4.01)         |  Yes  |  Yes  |  Yes  |  Yes  | swtril41 |
| Star Wars Trilogy (4.03)         |  Yes  |  Yes  |  Yes  |  Yes  | swtril43 |
| Star's Phoenix (French Speech)   |  Yes  |  Yes  |  Yes  |  Yes  | strsphnf |
| Star's Phoenix (French Speech, Fr|  Yes  |  Yes  |  Yes  |  Yes  | strspffp |
| Star's Phoenix (Italian Speech, F|  Yes  |  Yes  |  Yes  |  Yes  | strsphfp |
| Star's Phoenix (Italian Speech)  |  Yes  |  Yes  |  Yes  |  Yes  | strsphnx |
| Stargate (rev. 1)                |  Yes  |  Yes  | Yes(2)|  Yes  | stargat1 |
| Stargate (rev. 4)                |  Yes  |  Yes  | Yes(2)|  Yes  | stargat4 |
| Stargate (rev. 5)                |  Yes  |  Yes  | Yes(2)|  Yes  | stargat5 |
| Stargate                         |  Yes  |  Yes  | Yes(2)|  Yes  | stargate |
| Stargate (rev. 2)                |  Yes  |  Yes  | Yes(2)|  Yes  | stargat2 |
| Stargate (rev. 3)                |  Yes  |  Yes  | Yes(2)|  Yes  | stargat3 |
| Stars (Free Play)                |  Yes  |  Yes  |  Yes  |  Yes  | starsfp  |
| Stars                            |  Yes  |  Yes  |  Yes  |  Yes  | stars    |
| Stars & Strikes (Bowler)         |  Yes  |  Yes  | Yes(2)|  Yes  | monrobwl |
| Starship Troopers (2.00)         |  Yes  |  Yes  |  Yes  |  Yes  | startrp2 |
| Starship Troopers (2.01)         |  Yes  |  Yes  |  Yes  |  Yes  | startrp  |
| Stellar Wars (L-2)               |  Yes  |  Yes  | Yes(2)|  Yes  | stlwr_l2 |
| Still Crazy (L-1)                |  Yes  |  Yes  | Yes(2)|  Yes  | scrzy_l1 |
| Stingray (Free Play)             |  Yes  |  Yes  |  Yes  |  Yes  | stingrfp |
| Stingray                         |  Yes  |  Yes  |  Yes  |  Yes  | stingray |
| Strange Science (German)         |  Yes  |  Yes  |  Yes  |  Yes  | strngscg |
| Strange Science                  |  Yes  |  Yes  |  Yes  |  Yes  | strngsci |
| Street Fighter II (rev. 1)       |  Yes  |  Yes  | Yes(2)|  Yes  | sfight2a |
| Street Fighter II                |  Yes  |  Yes  | Yes(2)|  Yes  | sfight2  |
| Street Fighter II (rev. 2)       |  Yes  |  Yes  | Yes(2)|  Yes  | sfight2b |
| Strike                           |  Yes  |  Yes  |Partial|  Yes  | strike   |
| Strike Master (L-4)              |  Yes  |  Yes  | Yes(2)|  Yes  | strik_l4 |
| Strike Master (D-4 LED Ghost Fix)|  Yes  |  Yes  | Yes(2)|  Yes  | strik_d4 |
| Strike Zone (Shuffle) (L-2)      |  Yes  |  Yes  | Yes(2)|  Yes  | szone_l2 |
| Strike Zone (Shuffle) (L-5)      |  Yes  |  Yes  | Yes(2)|  Yes  | szone_l5 |
| Striker                          |  Yes  |  Yes  | Yes(2)|  Yes  | striker  |
| Striker Xtreme (1.02 Spanish)    |  Yes  |  Yes  |  Yes  |  Yes  | strxt_sp |
| Striker Xtreme (1.02 French)     |  Yes  |  Yes  |  Yes  |  Yes  | strxt_fr |
| Striker Xtreme (1.02 Italian)    |  Yes  |  Yes  |  Yes  |  Yes  | strxt_it |
| Striker Xtreme (1.02)            |  Yes  |  Yes  |  Yes  |  Yes  | strikext |
| Striker Xtreme (1.01 English)    |  Yes  |  Yes  |  Yes  |  Yes  | strxt_uk |
| Striker Xtreme (1.03 German)     |  Yes  |  Yes  |  Yes  |  Yes  | strxt_gr |
| Striker Xtreme (1.01 Italian)    |  Yes  |  Yes  |  Yes  |  Yes  | strxt_it_101 |
| Strikes N' Spares (rev. 2)       |  Yes  |  Yes  |  Yes  |  Yes  | snspare2 |
| Strikes N' Spares (rev. 1)       |  Yes  |  Yes  |  Yes  |  Yes  | snspare1 |
| Strikes N' Spares (rev. 6)       |  Yes  |  Yes  |  Yes  |  Yes  | snspares |
| Strikes and Spares (Free Play)   |  Yes  |  Yes  |  Yes  |  Yes  | stk_sprb |
| Strikes and Spares               |  Yes  |  Yes  |  Yes  |  Yes  | stk_sprs |
| Strikes and Spares (Free Play+)  |  Yes  |  Yes  |  Yes  |  Yes  | stk_sprc |
| Super Bowl (Free Play)           |  Yes  |  Yes  |  Yes  |  Yes  | sprbwlfp |
| Super Bowl                       |  Yes  |  Yes  |  Yes  |  Yes  | suprbowl |
| Super Mario Bros. (rev. 2)       |  Yes  |  Yes  | Yes(2)|  Yes  | smb2     |
| Super Mario Bros. (rev. 1)       |  Yes  |  Yes  | Yes(2)|  Yes  | smb1     |
| Super Mario Bros. (rev. 3)       |  Yes  |  Yes  | Yes(2)|  Yes  | smb3     |
| Super Mario Bros.                |  Yes  |  Yes  | Yes(2)|  Yes  | smb      |
| Super Mario Bros. Mushroom World |  Yes  |  Yes  | Yes(2)|  Yes  | smbmush  |
| Super Nova                       |  Yes  |  Yes  | Yes(2)|  Yes  | suprnova |
| Super Orbit                      |  Yes  |  Yes  | Yes(2)|  Yes  | sorbit   |
| Super Picker                     |  Yes  |  Yes  |  Yes  |  Yes  | suprpick |
| Superman                         |  Yes  |  Yes  |  Yes  |  Yes  | superman |
| Supersonic (7-digit Free Play rev|  Yes  |  Yes  | Yes(2)|  Yes  | sstc     |
| Supersonic                       |  Yes  |  Yes  | Yes(2)|  Yes  | sst      |
| Supersonic (7-digit conversion re|  Yes  |  Yes  | Yes(2)|  Yes  | sstb     |
| Supersonic (/10 Free Play)       |  Yes  |  Yes  | Yes(2)|  Yes  | sstd     |
| Sure Shot                        |  Yes  |  Yes  | Yes(2)|  Yes  | sureshot |
| Surf 'n Safari                   |  Yes  |  Yes  | Yes(2)|  Yes  | surfnsaf |
| Swords of Fury (L-1)             |  Yes  |  Yes  | Yes(2)|  Yes  | swrds_l1 |
| Swords of Fury (L-2)             |  Yes  |  Yes  | Yes(2)|  Yes  | swrds_l2 |
| System 1 'T' Test Fixture        |  Yes  |  Yes  | Yes(2)|  Yes  | sys1test |
| System 80 Test Fixture           |  Yes  |  Yes  | Yes(2)|  Yes  | s80tst   |
| System 80B Test Fixture          |  Yes  |  Yes  | Yes(2)|  Yes  | s80btest |
| TRON: Legacy (V1.1)              |  Yes  |  Yes  |  Yes  |  Yes  | trn_110  |
| TRON: Legacy (V1.2)              |  Yes  |  Yes  |  Yes  |  Yes  | trn_120  |
| TRON: Legacy (V1.7402)           |  Yes  |  Yes  |  Yes  |  Yes  | trn_17402 |
| TRON: Legacy (V1.5)              |  Yes  |  Yes  |  Yes  |  Yes  | trn_150  |
| TRON: Legacy (V1.74)             |  Yes  |  Yes  |  Yes  |  Yes  | trn_174  |
| TRON: Legacy (V1.7)              |  Yes  |  Yes  |  Yes  |  Yes  | trn_170  |
| TRON: Legacy (V1.6)              |  Yes  |  Yes  |  Yes  |  Yes  | trn_160  |
| TRON: Legacy (V1.4)              |  Yes  |  Yes  |  Yes  |  Yes  | trn_140  |
| TRON: Legacy Limited Edition (V1.|  Yes  |  Yes  |  Yes  |  Yes  | trn_140h |
| TRON: Legacy Limited Edition (V1.|  Yes  |  Yes  |  Yes  |  Yes  | trn_110h |
| TRON: Legacy Limited Edition (V1.|  Yes  |  Yes  |  Yes  |  Yes  | trn_174h |
| TRON: Legacy Limited Edition (V1.|  Yes  |  Yes  |  Yes  |  Yes  | trn_100h |
| TRON: Legacy Limited Edition (V1.|  Yes  |  Yes  |  Yes  |  Yes  | trn_130h |
| TX-Sector (Free Play)            |  Yes  |  Yes  | Yes(2)|  Yes  | txsectfp |
| TX-Sector (German)               |  Yes  |  Yes  | Yes(2)|  Yes  | txsectrg |
| TX-Sector (French Free Play)     |  Yes  |  Yes  | Yes(2)|  Yes  | txsecffp |
| TX-Sector (French)               |  Yes  |  Yes  | Yes(2)|  Yes  | txsectrf |
| TX-Sector (German Free Play)     |  Yes  |  Yes  | Yes(2)|  Yes  | txsecgfp |
| TX-Sector                        |  Yes  |  Yes  | Yes(2)|  Yes  | txsector |
| Tag-Team Pinball (Free Play)     |  Yes  |  Yes  | Yes(2)|  Yes  | tagtemfp |
| Tag-Team Pinball                 |  Yes  |  Yes  | Yes(2)|  Yes  | tagteam  |
| Tag-Team Pinball (rev. 2)        |  Yes  |  Yes  | Yes(2)|  Yes  | tagteam2 |
| Tag-Team Pinball (German Free Pla|  Yes  |  Yes  | Yes(2)|  Yes  | tagtmgfp |
| Tag-Team Pinball (rev. 2 Free Pla|  Yes  |  Yes  | Yes(2)|  Yes  | tagtem2f |
| Tag-Team Pinball (German)        |  Yes  |  Yes  | Yes(2)|  Yes  | tagteamg |
| Taito Test Fixture               |  Yes  |  Yes  |  Yes  |  Yes  | taitest  |
| Take Five                        |  Yes  |  Yes  |  Yes  |  Yes  | takefive |
| Tales from the Crypt (4.00 unoffi|  Yes  |  Yes  |  Yes  |  Yes  | tftc_400 |
| Tales from the Crypt (3.03)      |  Yes  |  Yes  |  Yes  |  Yes  | tftc_303 |
| Tales from the Crypt (3.02 Dutch)|  Yes  |  Yes  |  Yes  |  Yes  | tftc_302 |
| Tales from the Crypt (1.04 Spanis|  Yes  |  Yes  |  Yes  |  Yes  | tftc_104 |
| Tales from the Crypt (2.00)      |  Yes  |  Yes  |  Yes  |  Yes  | tftc_200 |
| Tales from the Crypt (3.00)      |  Yes  |  Yes  |  Yes  |  Yes  | tftc_300 |
| Tales of the Arabian Nights (1.5C|  Yes  |  Yes  | Yes(2)|  Yes  | totan_15c |
| Tales of the Arabian Nights (0.4 |  Yes  |  Yes  | Yes(2)|  Yes  | totan_04 |
| Tales of the Arabian Nights (1.2)|  Yes  |  Yes  | Yes(2)|  Yes  | totan_12 |
| Tales of the Arabian Nights (1.3)|  Yes  |  Yes  | Yes(2)|  Yes  | totan_13 |
| Tales of the Arabian Nights (1.4)|  Yes  |  Yes  | Yes(2)|  Yes  | totan_14 |
| Taurus (Shuffle) (L-1)           |  Yes  |  Yes  | Yes(2)|  Yes  | taurs_l1 |
| Taxi (Marilyn) (L-5C Competition |  Yes  |  Yes  | Yes(2)|  Yes  | taxi_l5cm |
| Taxi (Marilyn) (LU-1 Europe)     |  Yes  |  Yes  | Yes(2)|  Yes  | taxi_lu1 |
| Taxi (Lola) (L-4)                |  Yes  |  Yes  | Yes(2)|  Yes  | taxi_l4  |
| Taxi (Marilyn) (L-3)             |  Yes  |  Yes  | Yes(2)|  Yes  | taxi_l3  |
| Taxi (P-5 Prototype)             |  Yes  |  Yes  | Yes(2)|  Yes  | taxi_p5  |
| Taxi (Lola) (L-5C Competition MOD|  Yes  |  Yes  | Yes(2)|  Yes  | taxi_l5c |
| Taxi (Marilyn) (LG-1 German)     |  Yes  |  Yes  | Yes(2)|  Yes  | taxi_lg1 |
| Tee'd Off (rev. 3)               |  Yes  |  Yes  | Yes(2)|  Yes  | teedoff3 |
| Tee'd Off                        |  Yes  |  Yes  | Yes(2)|  Yes  | teedoff  |
| Tee'd Off (rev. 1)               |  Yes  |  Yes  | Yes(2)|  Yes  | teedoff1 |
| Teenage Mutant Ninja Turtles (1.0|  Yes  |  Yes  |  Yes  |  Yes  | tmnt_103 |
| Teenage Mutant Ninja Turtles (1.0|  Yes  |  Yes  |  Yes  |  Yes  | tmnt_104g |
| Teenage Mutant Ninja Turtles (1.0|  Yes  |  Yes  |  Yes  |  Yes  | tmnt_104 |
| Terminator 2: Judgement Day (Free|  Yes  |  Yes  | Yes(2)|  Yes  | t2_f19   |
| Terminator 2: Judgement Day (L-81|  Yes  |  Yes  | Yes(2)|  Yes  | t2_l81   |
| Terminator 2: Judgement Day (D-8 |  Yes  |  Yes  | Yes(2)|  Yes  | t2_d8    |
| Terminator 2: Judgement Day (L-8)|  Yes  |  Yes  | Yes(2)|  Yes  | t2_l8    |
| Terminator 2: Judgement Day (L-6)|  Yes  |  Yes  | Yes(2)|  Yes  | t2_l6    |
| Terminator 2: Judgement Day (P-2G|  Yes  |  Yes  | Yes(2)|  Yes  | t2_p2g   |
| Terminator 2: Judgement Day (L-4)|  Yes  |  Yes  | Yes(2)|  Yes  | t2_l4    |
| Terminator 2: Judgement Day (D-3 |  Yes  |  Yes  | Yes(2)|  Yes  | t2_d3    |
| Terminator 2: Judgement Day (L-3)|  Yes  |  Yes  | Yes(2)|  Yes  | t2_l3    |
| Terminator 2: Judgement Day (D-2 |  Yes  |  Yes  | Yes(2)|  Yes  | t2_d2    |
| Terminator 2: Judgement Day (L-2)|  Yes  |  Yes  | Yes(2)|  Yes  | t2_l2    |
| Terminator 2: Judgement Day (P-2F|  Yes  |  Yes  | Yes(2)|  Yes  | t2_p2f   |
| Terminator 2: Judgement Day (D-4 |  Yes  |  Yes  | Yes(2)|  Yes  | t2_d4    |
| Terminator 2: Judgement Day (Free|  Yes  |  Yes  | Yes(2)|  Yes  | t2_f32   |
| Terminator 2: Judgement Day (L-82|  Yes  |  Yes  | Yes(2)|  Yes  | t2_l82   |
| Terminator 2: Judgement Day (Free|  Yes  |  Yes  | Yes(2)|  Yes  | t2_f20   |
| Terminator 2: Judgement Day (D-6 |  Yes  |  Yes  | Yes(2)|  Yes  | t2_d6    |
| Terminator 3: Rise of the Machine|  Yes  |  Yes  |  Yes  |  Yes  | term3g   |
| Terminator 3: Rise of the Machine|  Yes  |  Yes  |  Yes  |  Yes  | term3i_2 |
| Terminator 3: Rise of the Machine|  Yes  |  Yes  |  Yes  |  Yes  | term3f_2 |
| Terminator 3: Rise of the Machine|  Yes  |  Yes  |  Yes  |  Yes  | term3l_2 |
| Terminator 3: Rise of the Machine|  Yes  |  Yes  |  Yes  |  Yes  | term3_2  |
| Terminator 3: Rise of the Machine|  Yes  |  Yes  |  Yes  |  Yes  | term3i_3 |
| Terminator 3: Rise of the Machine|  Yes  |  Yes  |  Yes  |  Yes  | term3f_3 |
| Terminator 3: Rise of the Machine|  Yes  |  Yes  |  Yes  |  Yes  | term3l_3 |
| Terminator 3: Rise of the Machine|  Yes  |  Yes  |  Yes  |  Yes  | term3g_3 |
| Terminator 3: Rise of the Machine|  Yes  |  Yes  |  Yes  |  Yes  | term3_3  |
| Terminator 3: Rise of the Machine|  Yes  |  Yes  |  Yes  |  Yes  | term3i   |
| Terminator 3: Rise of the Machine|  Yes  |  Yes  |  Yes  |  Yes  | term3f   |
| Terminator 3: Rise of the Machine|  Yes  |  Yes  |  Yes  |  Yes  | term3l   |
| Terminator 3: Rise of the Machine|  Yes  |  Yes  |  Yes  |  Yes  | term3    |
| Terrific Lake                    |  Yes  |  Yes  |Partial|  Yes  | terrlake |
| Theatre of Magic (1.3XC Competiti|  Yes  |  Yes  | Yes(2)|  Yes  | tom_13c  |
| Theatre of Magic (1.3X)          |  Yes  |  Yes  | Yes(2)|  Yes  | tom_13   |
| Theatre of Magic (1.01 French LED|  Yes  |  Yes  | Yes(2)|  Yes  | tom_101f |
| Theatre of Magic (1.4H Coin Play)|  Yes  |  Yes  | Yes(2)|  Yes  | tom_14hb |
| Theatre of Magic (0.6a)          |  Yes  |  Yes  | Yes(2)|  Yes  | tom_06   |
| Theatre of Magic (0.61a LED Ghost|  Yes  |  Yes  | Yes(2)|  Yes  | tom_061  |
| Theatre of Magic (1.4H)          |  Yes  |  Yes  | Yes(2)|  Yes  | tom_14h  |
| Theatre of Magic (1.3 French)    |  Yes  |  Yes  | Yes(2)|  Yes  | tom_13f  |
| Theatre of Magic (1.0 French)    |  Yes  |  Yes  | Yes(2)|  Yes  | tom_10f  |
| Theatre of Magic (1.21X LED Ghost|  Yes  |  Yes  | Yes(2)|  Yes  | tom_121  |
| Theatre of Magic (1.2X)          |  Yes  |  Yes  | Yes(2)|  Yes  | tom_12   |
| Third World                      |  Yes  |  Yes  |  Yes  |  Yes  | thrdwrld |
| Thunder Man                      |  Yes  |  Yes  |  Yes  |  Yes  | thndrman |
| Thunderball (P-2 Prototype)      |  Yes  |  Yes  | Yes(2)|  Yes  | thund_p2 |
| Thunderball (P-3 Prototype)      |  Yes  |  Yes  | Yes(2)|  Yes  | thund_p3 |
| Thunderball (P-1 Prototype)      |  Yes  |  Yes  | Yes(2)|  Yes  | thund_p1 |
| Thunderbolt                      |  Yes  |  Yes  |  Yes  |  Yes  | thndbolt |
| Tic-Tac-Strike (Shuffle) (L-1)   |  Yes  |  Yes  | Yes(2)|  Yes  | tts_l1   |
| Tic-Tac-Strike (Shuffle) (L-2)   |  Yes  |  Yes  | Yes(2)|  Yes  | tts_l2   |
| Ticket Tac Toe (1.0)             |  Yes  |  Yes  | Yes(2)|  Yes  | ttt_10   |
| Tiger Rag                        |  Yes  |  Yes  |  Yes  |  Yes  | tigerrag |
| Time 2000                        |  Yes  |  Yes  |  Yes  |  Yes  | time2000 |
| Time Fantasy (L-5)               |  Yes  |  Yes  | Yes(2)|  Yes  | tmfnt_l5 |
| Time Line                        |  Yes  |  Yes  | Yes(2)|  Yes  | timeline |
| Time Line (7-digit conversion)   |  Yes  |  Yes  | Yes(2)|  Yes  | timelin7 |
| Time Machine (LTD) (4 Players)   |  Yes  |  Yes  |  Yes  |  Yes  | tmacltd4 |
| Time Machine (LTD) (2 Players)   |  Yes  |  Yes  |  Yes  |  Yes  | tmacltd2 |
| Time Machine (Zaccaria, German Sp|  Yes  |  Yes  |  Yes  |  Yes  | tmacgfp  |
| Time Machine (Zaccaria, Free Play|  Yes  |  Yes  |  Yes  |  Yes  | tmachfp  |
| Time Machine (Zaccaria, French Sp|  Yes  |  Yes  |  Yes  |  Yes  | tmacfzac |
| Time Machine (Zaccaria, German Sp|  Yes  |  Yes  |  Yes  |  Yes  | tmacgzac |
| Time Machine (Zaccaria)          |  Yes  |  Yes  |  Yes  |  Yes  | tmachzac |
| Time Machine (Zaccaria, French Sp|  Yes  |  Yes  |  Yes  |  Yes  | tmacffp  |
| Time Machine (2.4)               |  Yes  |  Yes  |  Yes  |  Yes  | tmac_a24 |
| Time Machine (1.8 German)        |  Yes  |  Yes  |  Yes  |  Yes  | tmac_g18 |
| Time Machine (1.8)               |  Yes  |  Yes  |  Yes  |  Yes  | tmac_a18 |
| Time Warp (L-3)                  |  Yes  |  Yes  | Yes(2)|  Yes  | tmwrp_l3 |
| Time Warp (T-2 Ted Estes)        |  Yes  |  Yes  | Yes(2)|  Yes  | tmwrp_t2 |
| Time Warp (L-2)                  |  Yes  |  Yes  | Yes(2)|  Yes  | tmwrp_l2 |
| Titan (alternate set)            |  Yes  |  Yes  | Yes(2)|  Yes  | titan1   |
| Titan                            |  Yes  |  Yes  | Yes(2)|  Yes  | titan    |
| Titanic (Coin Dropper)           |  Yes  |  Yes  |  Yes  |  Yes  | titanic  |
| Title Fight                      |  Yes  |  Yes  | Yes(2)|  Yes  | tfight   |
| Tom & Jerry (Hollywood Heat unoff|  Yes  |  Yes  | Yes(2)|  Yes  | tomjerry |
| Tommy (4.00)                     |  Yes  |  Yes  |  Yes  |  Yes  | tomy_400 |
| Tommy (1.02)                     |  Yes  |  Yes  |  Yes  |  Yes  | tomy_102 |
| Tommy (5.00 unofficial MOD)      |  Yes  |  Yes  |  Yes  |  Yes  | tomy_500 |
| Tommy (3.00 Dutch)               |  Yes  |  Yes  |  Yes  |  Yes  | tomy_h30 |
| Top Dawg (Shuffle) (L-1)         |  Yes  |  Yes  | Yes(2)|  Yes  | tdawg_l1 |
| Top Pin                          |  Yes  |  Yes  |  Yes  |  Yes  | toppin   |
| Top Sound (French)               |  Yes  |  Yes  | Yes(2)|  Yes  | topsound |
| Topaz (Inder)                    |  Yes  |  Yes  |  Yes  |  Yes  | topazi   |
| Topaz (Shuffle) (L-1)            |  Yes  |  Yes  | Yes(2)|  Yes  | topaz_l1 |
| Torch                            |  Yes  |  Yes  | Yes(2)|  Yes  | torch    |
| Torpedo Alley (2.1 Europe)       |  Yes  |  Yes  |  Yes  |  Yes  | torp_e21 |
